marketplace,normalized_condition,location,listings_count,avg_price_usd,avg_seller_rating,total_sold_count,total_sales_volume_usd
BackMarket,Excellent,"Berlin, Germany",209,628.0300956937799,4.256363636363637,16395,10296553.42
BackMarket,Excellent,"London, UK",193,635.5648704663213,4.308704663212436,14312,9096204.43
BackMarket,Excellent,"Mumbai, India",193,670.7511917098445,4.301036269430052,14409,9664853.92
BackMarket,Excellent,"New York, USA",200,632.4628,4.2785,14861,9399029.67
BackMarket,Excellent,"Paris, France",230,672.6051739130435,4.283565217391304,16370,11010546.7
BackMarket,Excellent,"San Francisco, USA",224,682.6698660714285,4.254196428571428,15781,10773213.16
BackMarket,Excellent,"Sao Paulo, Brazil",208,669.5873557692308,4.295288461538461,16535,11071626.93
BackMarket,Excellent,"Sydney, Australia",200,645.65535,4.2608999999999995,15294,9874652.92
BackMarket,Excellent,"Tokyo, Japan",209,689.6390430622009,4.217799043062201,15895,10961812.59
BackMarket,Excellent,"Toronto, Canada",209,645.6809569377991,4.2870334928229665,15472,9989975.77
BackMarket,Fair,"Berlin, Germany",251,396.44211155378486,4.188446215139442,19209,7615256.52
BackMarket,Fair,"London, UK",210,367.3840476190476,4.285333333333333,16331,5999748.88
BackMarket,Fair,"Mumbai, India",222,404.42009009009007,4.256801801801802,15057,6089353.3
BackMarket,Fair,"New York, USA",206,381.93446601941747,4.302718446601942,15202,5806167.75
BackMarket,Fair,"Paris, France",202,364.88495049504945,4.2483168316831685,14839,5414527.78
BackMarket,Fair,"San Francisco, USA",222,339.6957207207207,4.237657657657658,17402,5911384.93
BackMarket,Fair,"Sao Paulo, Brazil",197,349.19654822335025,4.224111675126903,14886,5198139.82
BackMarket,Fair,"Sydney, Australia",220,393.923,4.263863636363636,15665,6170803.8
BackMarket,Fair,"Tokyo, Japan",191,409.80910994764395,4.247591623036649,14012,5742245.25
BackMarket,Fair,"Toronto, Canada",204,384.16171568627453,4.178872549019608,16072,6174247.09
BackMarket,Good,"Berlin, Germany",195,512.2069743589743,4.243897435897436,13723,7029016.31
BackMarket,Good,"London, UK",217,496.87861751152076,4.230921658986175,16608,8252160.08
BackMarket,Good,"Mumbai, India",193,506.5763212435233,4.289067357512953,14895,7545454.3
BackMarket,Good,"New York, USA",188,492.81079787234046,4.206755319148936,14480,7135900.35
BackMarket,Good,"Paris, France",195,523.9421538461538,4.276820512820513,15866,8312866.21
BackMarket,Good,"San Francisco, USA",205,529.568,4.249853658536585,14670,7768762.56
BackMarket,Good,"Sao Paulo, Brazil",197,529.1119289340102,4.253756345177665,15232,8059432.9
BackMarket,Good,"Sydney, Australia",202,560.7367326732674,4.25480198019802,14667,8224325.66
BackMarket,Good,"Tokyo, Japan",189,494.8044444444444,4.245396825396825,14130,6991586.8
BackMarket,Good,"Toronto, Canada",202,528.7345544554456,4.223762376237624,15730,8316994.54
BackMarket,Like New,"Berlin, Germany",212,680.3033490566038,4.246698113207547,16910,11503929.63
BackMarket,Like New,"London, UK",209,669.6096172248804,4.255789473684211,14974,10026734.41
BackMarket,Like New,"Mumbai, India",182,688.5685164835165,4.273131868131868,13783,9490539.86
BackMarket,Like New,"New York, USA",211,690.4634123222748,4.290616113744076,15481,10689064.09
BackMarket,Like New,"Paris, France",222,644.4973423423423,4.2868018018018015,15830,10202392.93
BackMarket,Like New,"San Francisco, USA",209,692.9926315789473,4.2461244019138755,16181,11213313.77
BackMarket,Like New,"Sao Paulo, Brazil",200,685.0522500000001,4.269,14442,9893524.59
BackMarket,Like New,"Sydney, Australia",198,660.8070707070707,4.268434343434343,15184,10033694.56
BackMarket,Like New,"Tokyo, Japan",200,652.65135,4.27295,14977,9774759.27
BackMarket,Like New,"Toronto, Canada",222,662.3871621621622,4.235315315315315,15647,10364371.93
BackMarket,Refurbished,"Berlin, Germany",213,586.9184976525821,4.231830985915493,16408,9630158.71
BackMarket,Refurbished,"London, UK",193,588.35207253886,4.2165284974093264,14182,8344009.09
BackMarket,Refurbished,"Mumbai, India",206,567.807572815534,4.261747572815533,15124,8587521.73
BackMarket,Refurbished,"New York, USA",220,568.2633181818181,4.266318181818182,15752,8951283.79
BackMarket,Refurbished,"Paris, France",215,562.0891627906976,4.2358604651162794,15379,8644369.23
BackMarket,Refurbished,"San Francisco, USA",212,612.6043867924528,4.235943396226415,16274,9969523.79
BackMarket,Refurbished,"Sao Paulo, Brazil",199,597.2391457286432,4.267085427135679,15502,9258401.24
BackMarket,Refurbished,"Sydney, Australia",222,593.3452702702702,4.26981981981982,17725,10517044.92
BackMarket,Refurbished,"Tokyo, Japan",226,599.9177433628319,4.239601769911505,18467,11078680.97
BackMarket,Refurbished,"Toronto, Canada",226,525.3936725663717,4.237035398230089,16297,8562340.68
BackMarket,Salvage,"Berlin, Germany",206,202.6961165048544,4.329514563106796,15909,3224692.52
BackMarket,Salvage,"London, UK",198,180.14550505050505,4.248838383838383,14547,2620576.66
BackMarket,Salvage,"Mumbai, India",199,183.4797487437186,4.232110552763819,13776,2527617.02
BackMarket,Salvage,"New York, USA",208,191.53052884615383,4.226346153846154,15444,2957997.49
BackMarket,Salvage,"Paris, France",216,186.9025,4.270462962962963,17288,3231170.42
BackMarket,Salvage,"San Francisco, USA",226,195.0333185840708,4.2373008849557525,16983,3312250.85
BackMarket,Salvage,"Sao Paulo, Brazil",205,191.66024390243902,4.239219512195122,15895,3046439.58
BackMarket,Salvage,"Sydney, Australia",189,189.85396825396828,4.242698412698413,14385,2731049.33
BackMarket,Salvage,"Tokyo, Japan",212,193.45292452830188,4.264622641509434,16590,3209384.02
BackMarket,Salvage,"Toronto, Canada",198,191.32666666666668,4.229141414141414,15351,2937055.66
Facebook Marketplace,Excellent,"Berlin, Germany",225,620.6874222222223,4.285244444444444,16781,10415755.63
Facebook Marketplace,Excellent,"London, UK",198,636.2738383838384,4.2445959595959595,14585,9280053.93
Facebook Marketplace,Excellent,"Mumbai, India",199,674.3378894472361,4.262814070351759,15051,10149459.57
Facebook Marketplace,Excellent,"New York, USA",184,653.0360869565218,4.265760869565217,13175,8603750.45
Facebook Marketplace,Excellent,"Paris, France",205,720.0068780487805,4.241853658536585,15405,11091705.96
Facebook Marketplace,Excellent,"San Francisco, USA",209,636.3467464114833,4.3007177033492825,15596,9924463.86
Facebook Marketplace,Excellent,"Sao Paulo, Brazil",233,660.9342489270387,4.2267381974248925,17309,11440110.91
Facebook Marketplace,Excellent,"Sydney, Australia",203,654.418472906404,4.2427586206896555,15421,10091787.27
Facebook Marketplace,Excellent,"Tokyo, Japan",204,664.286862745098,4.262941176470588,14653,9733795.4
Facebook Marketplace,Excellent,"Toronto, Canada",192,674.4052083333333,4.254895833333333,14212,9584646.82
Facebook Marketplace,Fair,"Berlin, Germany",235,395.27,4.219574468085106,17769,7023552.63
Facebook Marketplace,Fair,"London, UK",214,368.9413551401869,4.248177570093458,17139,6323285.89
Facebook Marketplace,Fair,"Mumbai, India",227,391.31541850220265,4.267709251101322,16601,6496227.26
Facebook Marketplace,Fair,"New York, USA",221,372.1364253393665,4.244886877828054,16240,6043495.55
Facebook Marketplace,Fair,"Paris, France",219,378.2641095890411,4.253470319634703,16012,6056764.92
Facebook Marketplace,Fair,"San Francisco, USA",205,357.94599999999997,4.19590243902439,16195,5796935.47
